index,Title,JobDescription,JobRequirment
247,Senior Democratization Assistant,"The OSCE Office in Yerevan invites applications from highly qualified, energetic and experienced Armenian professionals for the post of Senior Democratization Assistant.","Under supervision of the Democratization Officer the incumbent will perform the following tasks:  Analytical and Reporting:  1. Performs research and summarizes background information in the field of Democratization (e.g. gender issues; trafficking in human beings, rule of law, migration, media, good governance);  2. Provides legal and political review of developments in the areas of relevance to Democratization, including informal review of draft legislation and submits findings to the supervisor;  3. Drafts project proposals and assists in monitoring project implementation;  4. Provides advice on initiatives of the Office in the field of Democratization;  5. Drafts contributions to activity and background reports;  6. Attends relevant meetings, roundtables, workshops, conferences and other events; prepares relevant records on the events attended (including memos for the file and minutes of the meetings where the Office is the organizing party).  Organizational:  7. Establishes, maintains and develops contacts with the local authorities, universities, research institutions and non-governmental organisations, as well as with the government at mid- and high-level (deputy heads of departments, heads of sections, deputy ministers);  8. Assists in cooperating with international organizations and institutions;  9. Liases with and attends the meetings of International Working Groups as required;  10. Participates in organization of and attends Human Dimension Working Group meetings as required;  11. Organizes data and information, prepares and maintains records, documents, and control plans for the monitoring of project/program implementation;  12. Performs other relevant work as required."
248,"Visa Assistant, FSN-7; FP-07*","The U.S. Embassy in Yerevan, Armenia is seeking an individual for the position of Visa Assistant in the Consular Section.",BASIC FUNCTION OF POSITION Reviews non-immigrant visa applications and checks documentation for acceptability and completing visa issuance process. Acts as back-up cashier; translates personal and official correspondence and drafts responses; answers phone calls concerning visa matters; briefs public on the visa procedures and requirements. A copy of the complete position description listing all duties and responsibilities is available in the Human Resources Office.  Contact number: (3741) 52-46-61
251,Project Assistant,The anticipated result of the services provided by the incumbent is to ensure timely and qualified delivery of the Project outputs as per the approved project document and the work plan.,"The incumbent under direct supervision of the Team Leader (Programme Coordinator) will carry out programme, financial and administrative support to the project activities. In particular he/she will be responsible for - Selecting and entering data from a wide variety of documents (reports, reviews, analytical papers, media sources, internet etc.), verifying accuracy by checking sources, making necessary calculations and  - Establishing, updating and maintaining project filing and record keeping system; - Preparing travel authorization forms and assembling relevant information  - Translating and interpreting as necessary; - Supporting all necessary arrangements for all kinds of meetings and trainings within the scope of the project; - Preparing minutes of meetings within the scope of the project; - Supporting all aspects of the project management; - Performing any other activities deemed necessary. Expected Output The key expected output of incumbents services is the timely and qualified delivery of the project outputs as per the approved project document and the work plan."
252,Senior Java Developers,Design and Development of complete Java Web Applications for a commercial web site.,Development of Java Web Applications
254,ICT Specialist,Supervisors Title: Operations Manager Posts Supervised:  N/A Principal Functions: The incumbent will perform the duties indicated below to ensure effective functioning of the electronic information and knowledge management systems in the UNDP Armenia Country Office (CO).,"Management Duties Develops and maintains donor profile software. Develops and implements information systems for improving dissemination to donors (including the Diaspora). Develops and updates the Information Communications Plan and proposes and implements state-of-the-art web-based management systems and strategies for the CO. Develops and updates the Knowledge Management Plan and proposes and implements state-of-the-art knowledge management systems, including knowledge assets, for the CO. Coordinates and ensures maintenance of UNDP CO website, CO Intranet, OC website; coordinates and ensures maintenance of UN Armenia Intranet, UN Armenia website and UN Armenia Virtual Library; coordinates installation and effective use of corporate information systems; coordinates and ensures effective use of CO applications and software (ref. Software); reviews UNDP IT tools and Portal implementation and introduces tools to the CO as appropriate.  Drafts policies, guidelines and procedures for the CO on computer and network usage. Produces high quality document design for all internal and outgoing documents, presentations, etc. and uses advanced desk-top publishing tools to ensure international-standard publications.  Ensure that all hardware and software applications for ATLAS implementation are functioning effectively. Liaises with headquarters (HQ) and other COs on all aspects of ICT. (Workload/ Frequency - Continuous, 40%) Hardware  Ensures the effective functioning (installation, operation and maintenance) of all UNDP hardware.  Performs specific technical functions including changing of hardware electronic components (disks, memories, network wiring, power sources, etc.) and routine repairs.   Advises on procurement of new equipment for the CO and projects; proposes technical specifications and provides information on the best options in both local and international markets; participates in the evaluation of different offers; receives and checks equipment. Advises on the services needed to ensure maintenance of equipment and acquisition of hardware supplies for the CO and projects.  Follows up on the performance of all necessary maintenance services and maintains all necessary records. (Workload/ Frequency - Continuous, 10%) Software Ensures the effective functioning (installation, operation and maintenance) of all software packages in use (commercial, corporate or internally developed) in the CO. Supervises the implementation of corporate systems developed by UNDP headquarters or programmes developed regionally and locally. Develops new programmes or alters existing ones and reviews outputs for high impact results. Locates and corrects errors arising during programme execution. Suggests technical alternatives. Ensures further refinement and expansion of the country office Electronic Registry. Develops software to automate tasks done by UNDP LAN Managers worldwide. (Workload/ Frequency - Continuous, 10%) Network Ensures the smooth operation of computer networks and storage devices. Ensures security protection of the LAN and servers. Ensures LAN Infrastructure and Internet connectivity upgrades to meet ATLAS implementation requirements as well as to increase overall network security.  (Workload/ Frequency - Continuous, 15%) Data Processing Support Provides technical assistance to all UNDP personnel on data processing and correct use of equipment.. Maintains technical and procedural records on the compilation and extraction of information through computer networks. Keeps abreast of new information programmes and identifies new automation areas. Designs new programmes or modifies existing programmes when necessary. Provides trouble-shooting services when required. Provides support to consultants on mission and assists in the supply of equipment and services for special events. Provides advice to project personnel in the automation field, including information on programmes, procurement of equipment, contracting of personnel and training. Provides consultancy services to other UN Agencies and prepares technical specifications for IT equipment procurement for UN Agencies.  Ensures periodic backup of all data accumulated on the servers. (Workload/ Frequency - Continuous, 10%) Training Prepares office training plan on all relevant ICT issues.  Conducts training activities within the office as part of the Annual Training Plan. (Workload/ Frequency - Continuous, 5%)"
256,Marketing Officer,"The following full time position starting as soon as possible is based in the Customer Relations Services/Marketing Department at World Vision Armenias National Office in Yerevan.  The purpose of this position is to cultivate and maintain positive relationships through publication of key marketing materials WV Armenia donor community, World Vision support offices, and key stakeholders. To promote the good name of the organization in Armenia and abroad through marketing activities supported by the positions indicated skills.","- Coordinate the production and/or creation and update of all Video and Audio materials, PPP (power point presentations) relating to WVA ministry in the country.  - Coordinate the production of all print materials relating to WVA ministry in the country. - Photography.  - Coordinate the production of the quarterly/yearly WV Armenia annual review magazine.  - Assist the SRC/M Manager with the compilation of the WV Armenias annual progress report. - Assist the Custom Relations Services and Marketing (CRS/M) Manager and Communications Officer in development of strategic initiatives for the Marketing and Communications departments.   - Identify new fundraising opportunities for World Vision within Armenia and outside the country. - Develop and maintain good relationships with potential donors within Armenia and outside the country.  - Assist CRS/M Manager in developing methodology to run marketing survey for future fundraising opportunities in Armenia and abroad; to facilitate marketing survey.   - Develop cost-effective fundraising activities that support the ministry of World Vision. - Develop annual marketing business reports and present it to the WV Armenia staff.  - Perform other duties as required by CRC/M department needs.  - Attend and participate in daily devotional/staff meetings."
257,Policy Officer,"The following full time position starting as of the second week of May is based in World Vision Armenias National Office in Yerevan. Candidates must be flexible team players willing to work in a team. The purpose of this position is to raise awareness on vulnerable childrens issues and advocate for the protection of child rights to Government, local communities, other NGOs, World Vision staff and other stakeholders/authorities as appropriate and defined by the CPP Manager.","- Work with CPP Manager and senior WV leadership to design strategy on awareness raising on Child Protection issues. - Be responsible for drafting detailed recommendations for Governmental or Institutional policy, regulations and systems change that promote the rights of children. - Promote public awareness of Child Protection related issues among local and external supporters of World Vision, Government and local communities. - Keep well informed of the current political and social context in Armenia as well as situation on the ground/field. Respond to general queries for information and provide information support for field personnel.  - Keep the CP project team and WV Armenias staff informed on the latest news and developments in legal environments and policy related to CPP. - Supervise and coordinate activities of the Cultural Work specialists working in the program - Represent CP program in external/internal public relations meetings and events and assist in preparing media reports or briefings as required. - Organize and co-ordinate round table discussions, working group meetings and conferences. - Participate in planning of the project objectives and activities. Schedule and coordinate ongoing project activities, visits, and meetings that promote child rights. - Facilitate identification of and maintaining working contacts with the project partners in Armenia. Nurture working relationship with the local and national authorities, Commission of Minors, NGOs, communities, stakeholders and other counterparts related to the field of CPP.  - Together with responsible team members communicate developed materials, approaches and strategies to communities and staff through sharing sessions, round table discussions, outreach and formal trainings. - Organize and facilitate activities focusing on WVA staff CPP awareness raising.  - Work with the Marketing Department to ensure that World Visions CPP program is being professionally represented to the media, donors and to the support base of World Vision Armenia - Coordinate thorough coverage of the program. Provide information, reports, stories and photos about program activities to project team, governmental structures and donors as requested."
260,Driver,"UMCOR/Armenia announces a vacant position of a driver for ""AREGAK"" microlending program.","- Drive the office vehicle for the transport of authorized personnel within the city and outside in the regions, and for delivery and collection of mail, documents and equipment;  - Ensure day-to-day maintenance of the vehicle, check oil, water, battery, etc., perform minor repair and ensure that the vehicle is clean;  - Log official trips, daily mileage, oil charges, etc.  - Drive  always according to the traffic rules and regulations;  - In case of an accident ensure that the requested measures are taken according to UMCOR established policies and procedures.  - Perform other duties as required"
261,Processing Manager,"This position description for the Processing Manager will be implemented by the employee, under the supervision of the Production and Processing Director in accordance with the policies, procedures, and guidelines established in the organization. The individual will contribute to the development of a positive and professional work environment by representing the Processing unit and the entire organization in an appropriate manner. This person will need to work cooperatively with field production and processing specialists and agricultural sector personnel to develop a program that results in expanded production and marketing of Georgia products in meaningful quantities, consistent quality and supply to attract buyers at international markets. Job Structure: This position reports directly to the Production and Processing Director. In the absence of direct supervisor, this position reports to the General Director. This position supervises team of processing staff.","Duties of the Processing Manager will include, but not be limited to the following:  - Provide strategic input into conceptualizing, planning and implementing the AgVANTAGE processing component.  - Manage the daily operations of the AgVANTAGE processing unit under the direction of the Production and Processing Director. Specifically responsible for coordinating and ensuring completion of the planned processing-related activities.  - Work with the AgVANTAGE production, processing, marketing and leasing teams, and key representatives from Georgia's food processing industry in identifying and prioritizing processed product export opportunities. - Develop and maintain a database of the major food processors in Georgia. Include details related to location, ownership, capacities, utilization, output in terms of quantities/volumes and value by product type for both export and domestic markets (breakdown by specific market locations), level of technology, type and condition of equipment, condition of physical facility, type and source of packaging material, sources and situation regarding raw material supply, existing marketing and distribution channels, etc.  - Designate those processors that have the potential to enter export markets or expand their current level of exports. Based on data from these companies, construct a supply table quantifying their present output and production schedule by product type, as well as their potential output tied to level of required capital investment and raw material.  - Outline factors impacting their competitiveness in international markets and prioritize constraints needing mitigation.  - Meet with those key companies and determine level of interest in working with AgVANTAGE as market chain stakeholders. In concert with each processor and the AgVANTAGE production, marketing and leasing teams, formulate market chain development strategies and outline a set of interventions to facilitate the processing component.  - Coordinate and manage the implementation of the ""processing-related"" intervention action plans. These interventions may relate to specialized short-term technical assistance, introduction of new technologies and equipment, establishment of quality control and assurance programs such as HACCP, improving raw material supply base through establishment of Consolidation Centers and grower assistance programs, improved packaging, etc.  - Assist in determining specific technical assistance needs. These needs may relate to plant engineering and layout, equipment specifications, processing operations, quality control and assurance, etc. Provide input into drafting Scopes of Work. Oversee planning and coordination of consultant visits. Manage the follow-on programs laid out by each of the specialists.  - Assist in coordinating the activities of the AgVANTAGE two Production Field Representatives and the Consolidation Center field personnel regarding scheduling and delivery of raw material to the various processing facilities.  - Obtain regular updates on the delivery of raw material and manufacturing and shipment of finished product from the factory for those processors being assisted through the AgVANTAGE market chain activities.  - Maintain records of finished product quality, quantities/volume, flow, value and arrival at destination, and provide regular summaries of this activity to all appropriate parties.  - Coordinate the representation of the processing team on the Product Working Groups (PWGs).  - Coordinate the provision of processing-related input requested by the Planning Team. - Oversee the planning and delivery of processing-related training programs and dissemination of technical processing information.  - Supervise the other three members of the processing team; Processing Engineer, Processing Operations Specialist and Quality Control and Assurance Specialist."
263,Principal Assistant to the Head of Office,"Under the direct supervision of the UNICEF Country Representative the incumbent performs full personal assistant and secretarial functions. Terms of Employment: After an initial trial period, a one-year contract (renewable) in accordance with the salary, benefits and allowances of a GS-5 post applicable to all staff of the United Nations system.","- Manage the administration of the Country Representatives Office i.e. - Prepare the daily agenda / Arrange meetings with key external officials / Register and route all incoming mail / Draft outgoing correspondence / Answer and screen telephone queries with discretion  - Translate incoming correspondence and other documents (Georgian or Russian into English). Summarize reports for review and take minutes of internal and external meetings.  - Assist in the arrangement of receptions, workshops, training events and conferences on a range of issues relating to the welfare of children and mothers  - Provide translation/interpretation services during high-level meetings and press conferences  - Make all travel arrangements for the Country Representative including all administrative details such as: travel authorization, security clearance, accommodation etc).  - Liaise with all UNICEF counterparts: government, NGOs, UN agencies, UNICEF offices  - Prepare briefing materials and maintain all confidential and general management files."
264,Junior Internal Auditor,United Georgian Bank is seeking for qualified candidates for the position of Junior Internal Auditor for Lending Operations. He/she will closely collaborate with the team of experienced internal auditors.,- Carrying out internal auditing  - Assessment of internal control and risk management instruments  - Implementation of standardized solutions in internal auditing  - Internal reporting to the UGB Head Office.
265,Credit Officer,JSC Intellectbank is looking for a Credit Officer.,"- Scrutinize credit projects, financial analysis, risk appraisal;  - Prepare conclusions for credit committee, after the estimation of credit projects;  - Providing and monitoring of loans;  - Prepare reports for management."
266,Secretary/Chancellery Clerk,"ProCredit Bank, Georgia announces the vacancy of the Secretary/Chancellery Clerk for its Central Branch in Tbilisi.",Duties will include any office related and secretarial work.
267,Accountant/Financial Analyst,"People's Bank of Georgia is announcing the vacancy for the position of Accountant/Financial Analyst, Plastic Card Department.",- Managing and controlling international /local card system settlements. - Financial analysis of Plastic Card Department.
268,Local Conflict Management consultant,We are looking for a Local Conflict Management consultant for Food Security Regional Cooperation and Stability Programme in South Caucasus (FRCS),"The consultant will be responsible for the following tasks in close cooperation with FRCS: - Suggest and agree in consultation with 2 abovementioned  NGOs, the regional administration and FRCS on a process design how to continue the discussion and meetings - Collect and systematize relevant information (e.g. laws, reports, analysis etc.) - Analyze best practices and lessons learnt in the identified conflict fields - Identify open points still to be clarified - Prepare material / input for meetings - Assist relevant actors in preparing inputs for the discussions - Organize meetings - Suggest possible measures to support constructive conflict management"
269,ASTP Project Specialist,"Project Specialist will support in developing and implementing the non-clinical tasks of the ASTP pilot activities in Lori sites, such as: Vanadzor PC 4 and non-pilot PCs implementing open enrollment, Vahagni ambulatory with 6 rural FAPs, Dsegh ambulatory with 6 rural FAPs, Tumanyan ambulatory with 2 rural FAPs. The responsibilities include but are not limited to the following:","- Support in reviewing and adjusting technical recommendations to adopt and enact locally, particularly those of related to management/admin systems and operations, policies and procedures, labor contracts, job descriptions, performance evaluation and indicators/measures, monitoring and evaluation. - Participation in planning and pilot development of Open Enrollment system - Daily coordination of enrollment implementation in Vanadzor and Lori rural sites - Assurance of information feedback from all sites on open enrollment implementation - Communicate technical recommendations to pilot stakeholders and provide required assistance in implementing relevant tasks - Perform other non-clinical tasks as required by project work plans."
271,Sales representative,Distribution of cosmetic and laundry products to retail points in Yerevan.,"- Collecting orders from retail points,  - Finding new customers, providing high level of merchandising in the assigned retail points,  - Collecting information on competitor activities."
272,Foreign National Student Intern,"Intern will primarily be responsible for assisting the Cultural Affairs Assistant and Cultural Exchanges Coordinator in planning and organizing summer cultural events, such as concerts and film festivals and U.S. speaker/specialist lectures and events.","Scope of work and related duties.:  - Intern will be based in the Public Affairs Section and primarily work on cultural programs.   - Intern may be assigned other clerical duties (answering phones, filing, copying, etc.) as needed.    - Intern will report directly to the Cultural Affairs Assistant and the Cultural Exchanges Coordinator."
273,Deputy Chief of Party/Targeted Media Loan Division,IREX currently seeks to fill the position of Deputy Chief of Party/Targeted Media Loan Division. The position will report to the Chief of Party of the Media Innovations Program/Armenia.,- Coordinate with lending institutions; - Monitor loan program; - Supervise training and grants division; - Conduct training and presentations; - Ensure timely reporting; and - Other duties as assigned/needed.
274,Foreign National Student Intern,"Intern will work primarily on the PAS administered Democracy Commission grants program: assisting with program monitoring activities, assisting in evaluating mid-grant and final reports, etc.","- Intern will be based in the Public Affairs Section and work closely with and report directly to the Administrative Assistant responsible for the Democracy Commission program.   - Intern may be assigned other clerical duties (answering phones, filing, copying, etc.) as assigned."
278,Senior Expert  Economic Development Programs,"The Shirak Competitiveness Center (SCC), based in Gyumri, urgently seeks an experienced individual to manage economic and business development programs in Shirak Marz. The position will be based in Gyumri and preference will be given to individuals either from Shirak Marz or those familiar with the region. The successful candidate will begin work early in July.","Responsibilities will include, but will not be limited to, the following:  - Providing technical business consulting to small and medium enterprises in Shirak Marz;  - Collaborating with international organizations on an economic development strategy for Shirak Marz;  - Identifying and developing business clusters within Shirak Marz;  - Planning and implementing capacity-building business trainings for economic development entities and business service providers within Shirak Marz;  - Managing outreach to donors and regional NGOs and coordinating their efforts on economic development projects in Shirak Marz;  - Participating in organizational and strategic planning with the SCCs Executive Director."
279,Alumni Coordinator,"IREX currently seeks to fill the position of Alumni Coordinator for Internet Access and Training Program (IATP). The position is based in the Yerevan IREX/IATP office, however applicants must be willing to travel throughout Armenia as necessary.  This position reports directly to the IATP Armenia Country Coordinator.","- Conducting alumni outreach to integrate alumni into the activities of IATP; - Compiling and distributing comprehensive data on alumni; - Conducting outreach to non-governmental organizations involved in the administration of academic exchange programs in order to organize PDO trainings, focus groups, web chats, and other events; - Producing alumni newsletters, mailing lists, and related electronic publications; - Developing and coordinating alumni events; - Promoting the development of alumni associations; - Recruiting alumni to serve as volunteers/trainers for IATP activities; - Following-up with returning ECA program participants to integrate them into the IATP network and inform them of IATP services;"
286,Head of Corporate Customers Department,"ProCredit Bank, Georgia is looking for Head of Corporate Customers Department for its Head Office. The Head of Corporate Customers Department reports to the CEO.",- Coordinating/supervising and monitoring the performance of banking activities related to the attraction and servicing of medium sized companies and corporate clients;  - Supervising teams of corporate customer advisors working in the branches;  - Assessing the performance of corporate customer advisors;  - Participating in the recruiting of new corporate customer advisors;  - Organizing the workflows and preparing procedures related to the servicing of medium sized companies and corporate clients;  - Liaising with Customer Service Department and other departments of the bank to find ways to improve customer service for corporate customers and medium sized companies;  - Liaising with Credit Risk Department to discuss/solve credit related issues.
287,Microlending Unit Manager,Small Enterprise Lending Programme (SELP) of European Bank for Reconstruction and Development (EBRD) is seeking for qualified candidates for the position of Microlending Unit Manager for partner bank Batumi Branch.,- Management of Microlending Unit  - Participation and decision authority in the Credit Committee  - Monitoring of the Loan portfolio  - Controlling  - Reporting  - Coaching/Motivation of staff.
288,Unit Lawyer/Administrator,Small Enterprise Lending Programme (SELP) of European Bank for Reconstruction and Development (EBRD) is seeking for qualified candidates for the position of Unit Lawyer/Administrator for partner bank Batumi Branch.,"- Preparation of loan, collateral and other agreements  - Registration of bank clients in registration programme  - Loan disbursement and repayment procedures."
289,Credit Methodology Expert,"ProCredit Bank, Georgia announces the vacancy for the position of Credit Methodology Expert.","Development of Credit Methodologies, i.e. preparation of new credit instructions, memorandums, procedures and orders."
290,Microloan Officer,Small Enterprise Lending Programme (SELP) of European Bank for Reconstruction and Development (EBRD) is seeking for qualified candidates for the position of Microloan Officer for partner bank Batumi Branch. Selected candidates will go through the theoretical and practical trainings and work within a team of international and local consultants and will be responsible for the successful and stable development of the programme.,- Attraction of clients  - Carrying out financial analysis  - Processing loan application and presentation of loan cases to Credit Committee  - Build up and manage a sound microloan portfolio.
291,Project Manager,The Foundation Internews Georgia is seeking a qualified candidate for the full time position of Project Manager.,"- Manage and enhance implementation of the projects  - Prepare monthly and/or quarterly programmatic reports in agreement with Funders and upon their requirements  - Identify and develop news project/program proposals for donor/client funded activities working independently  - Solicit funds from donors; contribute to fundraising  - Prepare general reports covering all projects and activities implemented by Internews and develop their impact assessment  - Develop regular statistic and programmatic analysis of Internews activities  - Undertake general business correspondence  - Represent the organization in interactions with the international community, state bodies and other non-governmental organizations  - Coordinate implementation of all on-going projects in absence of Executive Director."
292,Administrative Assistant/Receptionist,The Foundation Internews Georgia is seeking a qualified candidate for the full time position of Administrative Assistant/Receptionist.,"- Register and route all incoming and outgoing mails  - Drafts outgoing correspondence of general and administrative character - Answer and screen telephone queries with discretion; take notes and make appointments  - Meet visitors  - Assist the Executive Director in everyday routine work  - Send and receive faxes, letters and electronic mails  - Maintain telephone directory  - Assist in the arrangement of receptions, workshops, training events and conferences on a range of issues related to Internews projects."
293,"Country Coordinators Russia, Azerbaijan, Armenia","Country Coordinators will report directly to the Region Managers. They will be responsible for the management and implementation of the fellowship programs and projects in their target countries: for coordinating all recruitment, selection, placement procedures; university relations; strategy evelopment; program, administrative and financial matters.","Essential duties may include, but are not limited to the following:  - Communicate effectively with the head office and Region Manager on program strategy, financial and reporting policies and obligations;  - Be responsible for the implementation of all aspects of the program in their respective country;  - Organize orientation and placement of program international fellows, support their activities;  - Organize recruitment, interviewing, selection and placement for the local fellows;  - Cooperate and actively participate in the regional projects and initiatives;  - Promote program with partner institutions;  - Be responsible for effective University Relations: coordinate and support the process of identifying target partner higher education institutions;  - Supervise the process of teaching evaluations for the fellows;  -Work closely with the regional director to accommodate local needs in the regional strategy;  - Carry out fundraising for the country program;  - Carry out financial and program reporting."
296,Senior Expert  Economic Development Programs,"The Shirak Competitiveness Center (SCC), based in Gyumri, urgently seeks an experienced individual to manage economic and business development programs in Shirak Marz. The position will be based in Gyumri and preference will be given to individuals either from Shirak Marz or those familiar with the region. The successful candidate will begin work early in July.","Responsibilities will include, but will not be limited to, the following:  - Providing technical business consulting to small and medium enterprises in Shirak Marz;  - Collaborating with international organizations on an economic development strategy for Shirak Marz;  - Identifying and developing business clusters within Shirak Marz;  - Planning and implementing capacity-building business trainings for economic development entities and business service providers within Shirak Marz;  - Managing outreach to donors and regional NGOs and coordinating their efforts on economic development projects in Shirak Marz;  - Participating in organizational and strategic planning with the SCCs Executive Director."
297,Research Analyst,"Japonica Intersectoral is seeking 4 to 6 individuals for full-time positions of Research Analyst at its Yerevan Office. Research Analysts go through intensive training to learn Japonica Intersectorals internal research and writing processes.  Ongoing training offers Research Analysts the opportunity to develop their research and analytical skills while building specific knowledge in one or two areas of concentration.  The current areas of concentration include economic and export development, tourism, microfinance, anticorruption, and the media & press. The excellent training prepares analysts to assume positions of increased responsibility and Japonica Intersectorals continued growth offers analysts the benefits of career growth opportunities with top-tier compensation.",- Produce high quality value-added Executive Briefs and Research Reviews to better serve JI membership base. - Provide Executive Briefs and Research Reviews in accordance with the JI Seven Step Writing Process to ensure consistency of format and quality of deliverable. - Meet the deadlines and the specified quality. - Develop research and analytical skills building sector-specific knowledge. - Coordinate content development and maintain report review procedure set by Research Manager.  - Participate in peer review process to further develop writing skills and knowledge of the areas of concentration.
298,Procurement Specialist,"- Developing Procurement Plans (by method of procurement, types, quantities, costs, delivery requirements, sources, etc); - Preparing and issuing bidding documents (using World Bank standard bidding documents  including invitation for bids, contract conditions, forms of security, contract forms, etc.) for the procurement of consulting services, goods and works; - Identifying sources and preparing notification of bidding opportunities through advertising as appropriate;","Excellent organizational, communication and team-work skiils are required. Ability to work under pressure."
299,"Escort; FP-BB*, FSN-3","The U.S. Embassy in Yerevan, Armenia is seeking an individual for the position of Escort in the Overseas Buildings Operations office.","Act as an Escort for construction material that is being transported from the secure warehouse to various places within the Controlled Access Area (CAA) of the NOB Construction Site for installation. Work directly with the Site Security Manager (SSM), Cleared American Guard Force (CAG), Construction Surveillance Technicians (CST) and local workers and contractor personnel in the control of the Secure Storage Area and Warehouse and all items contained/stored in both. Special Circumstances: NOB construction site is operated 7 days a week. Escorts will be required to wear a hardhat when inside the construction zone; no shorts will be authorized for wear. It will be hot, dirty and somewhat uncomfortable upon."
300,CEDC Psychologist in Special Institution,The following full time position starting as of the first week of June 2004 is based in World Vision Armenias National Office in Yerevan. Candidates must be flexible team players willing to work in a team. The purpose of this position is to oversee all psychological aspects and provide psychological service to children in special institution and to work with staff on matters of psychological concern,"- Complete behaviour observations and diagnostic interviews with children in need. - Present finding of psychological evaluations and interventions at Multidisciplinary Team meetings. Coordinate psychological interventions with Multidisciplinary Team and Social Service staff. - Conduct individual and family therapy with children and their parents in keeping with the Individual Development Plan. Conduct joint sessions with other involved agencies as needed. Build and maintain connections between children and families. Maintain contact with family during care period, through phone calls, home visits and therapy sessions. - Meet the physical needs of the child regularly and adequately. Show the child friendship, understanding, guidance and acceptance. Protect child from harm and serious upset, seeking help whenever necessary.  - Encourage and emphasize sound habits regarding body hygiene, personal grooming and dress, care of clothes, bedroom and surroundings, table manners, nutrition and interaction with others. - Plan, encourage and participate with children and other appropriate personnel in educational, spiritual, recreational and work activities. - Help the child make appropriate choices according to the treatment plan.  - Keep the demands of individual children in balance with the needs of group. - Plan, be actively involved in, direct and supervise the daily planned routine of group living according of the treatment plan. - Assist the child to develop discipline and order in their lives. - Deal with special needs of the child as determined in consultation with qualified personnel. - Undertake assessment and monitoring of a childs status as a part of multidisciplinary team. Incorporate diagnostic testing where appropriate.  - Provide systematic street roaming to identify vulnerable children. - To be the link between administration and staff of the institution. - Contribute to requests for other services, providing written summaries or applications."
301,Child Protection Programs Technical/Logistics Assistant,The following full time position starting as of the first week of June 2004 is based in World Vision Armenias National Office in Yerevan. Candidates must be flexible team players willing to work in a team. The purpose of this position is to provide logistical assistance to the CPP Manager and team in implementation of the project goals and objectives.,"- Assist the Project Manager and team in preparation for and implementation of the project activities. - Survey local market for best vendors to supply materials and equipment for the project.   - Make purchases of supplies and materials for the project as per requisition approved by the Project Manager.  - Render other logistical support to the project including but not limited to photocopying, sending/receiving faxes, delivering correspondence, facilitation of the project premises renovation and refurbishing.  - Order and supervise the GIK and project supplies distribution among program sides. - Provide other duties and additional support to field staff as assigned by the Project Manager."
302,CEDC Social Worker in Special Institution,The following full time position starting as of the first week of June 2004 is based in World Vision Armenias National Office in Yerevan. Candidates must be flexible team players willing to work in a team. The purpose of this position is to oversee all social aspects and provide social work service to children in special institution and to work with staff on matters of social concern.,"- Conduct individual and group work with children and their families in accordance with Individual Development Plans. Build and maintain connections between children and families. To arrange, transport and monitor visiting between children and their parents, both at home and at the institution. Spend 80% working time per week in case-related services to children and their families. - Promote parental involvement in the institution activities - Report anything unusual regarding the children or the institution to proper personnel of the institution and Program Coordinator - To address and follow up on any and all emergency situations (court proceedings, police actions, etc.) relevant to caseload.  - Keep other team members informed of all pertinent family issues - Maintain contact with family through phone calls, home visits, therapy sessions or parent support groups. - Maintain regular contacts with school personnel regarding childs performance, and forward the information to families.  - Serve as a resource to the team members, giving input at plan reviews and presenting pertinent topics. Work among team on issues of a social work ethical nature: keep supervisor apprised of concerns. - Serve in an assessment capacity, during child referral period, participate in planning of the further interventions. - Maintain all necessary records, treatment plans, progress notes, treatment summaries, other data collection systems. Contribute to record keeping for various committees. - Conduct follow-up of a family situation after 6 months of exiting the program. - Engage in ongoing updating of skills - Conduct training for institutional staff on relevant issues - Serve as liaison between the program and the community-at-large, maximizing exposure to and education about this program to other agencies and organizations."
303,Software Developer,"The responsibilities of this position are focused on core software development tasks in Synergy International Systems, Inc. Synergy's main focus is on developing integrated Web Database and Web Portal systems.  This position will be filled by a software developer with a proven history of producing quality software product in a commercial setting. Experience in a dynamic workplace with solid software developing practice is required. Ideally, this position will be filled by a candidate who has experience in all aspects of the software development process; including design, implementation, testing and delivery.","Specific tasks and key responsibilities include but are not limited to: - Translate design requirements and specifications into robust implementations; - Design, proto-type, develop and manage the technical aspects of the software; - Perform implementations in a timely fashion; - Perform quality assurance tasks, such as testing of the software products."
304,Quality Assuarance Manager,"The Quality Assuarance Manager will be part of and lead a team that supports the development, implementation and maintenance of the software products that are designed and developed at the company. S/he should be able to grow into supervisory responsibilities for a small QA team; perform and monitor testing ensuring the compliance of the products quality with the established standards, and summarize the testing result in separate reports.",- Managing team of QA engineers;  - Building and enhancing product development quality cycle and enforcing it during the product development life cycle;  - Planning and defining test planes and scenarios;  - Collaborating with the software engineering team to prepare for new product features and developing and reviewing software specifications;  - Tracking and managing software defects using bug tracking systems
